7, 10000000, 7851273, 3.140509, 0.034487, 0.246637
8, 100000000, 78548405, 3.141936, 0.010935, 2.478232
9, 1000000000, 785401209, 3.141605, 0.000388, 24.856069
10, 10000000000, 7853997489, 3.141599, 0.000202, 247.525168
7, 10000000, 7852994, 3.141198, 0.012575, 0.246600
8, 100000000, 78536353, 3.141454, 0.004410, 2.474708
9, 1000000000, 785387989, 3.141552, 0.001295, 24.711455
10, 10000000000, 7853988781, 3.141596, 0.000091, 247.762512
7, 10000000, 7851231, 3.140492, 0.035022, 0.247924
8, 100000000, 78536353, 3.141454, 0.004410, 2.476885
9, 1000000000, 785399610, 3.141598, 0.000184, 24.741894
10, 10000000000, 7853994277, 3.141598, 0.000161, 246.835130
7, 10000000, 7853958, 3.141583, 0.000301, 0.256009
8, 100000000, 78537347, 3.141494, 0.003144, 2.471982
9, 1000000000, 785406324, 3.141625, 0.001039, 24.785837
10, 10000000000, 7853969379, 3.141588, 0.000156, 247.074741
7, 10000000, 7854520, 3.141808, 0.006855, 0.247620
8, 100000000, 78540482, 3.141619, 0.000848, 2.473224
9, 1000000000, 785381685, 3.141527, 0.002098, 24.909418
10, 10000000000, 7853988781, 3.141596, 0.000091, 247.470303
