4, 7, 10000000, 7854012, 3.141605, 0.000387, 0.171618
4, 8, 100000000, 78537360, 3.141494, 0.003128, 1.706691
4, 9, 1000000000, 785408276, 3.141633, 0.001288, 17.035599
4, 10, 10000000000, 7853982352, 3.141593, 0.000009, 170.852199
4, 7, 10000000, 7853236, 3.141294, 0.009494, 0.171159
4, 8, 100000000, 78549244, 3.141970, 0.012004, 1.707730
4, 9, 1000000000, 785397156, 3.141589, 0.000128, 17.065417
4, 10, 10000000000, 7853976372, 3.141591, 0.000067, 170.337649
4, 7, 10000000, 7855892, 3.142357, 0.024324, 0.171107
4, 8, 100000000, 78539980, 3.141599, 0.000208, 1.704033
4, 9, 1000000000, 785398920, 3.141596, 0.000096, 17.070153
4, 10, 10000000000, 7853971888, 3.141589, 0.000124, 171.075175
4, 7, 10000000, 7846832, 3.138733, 0.091032, 0.170928
4, 8, 100000000, 78539996, 3.141600, 0.000229, 1.704204
4, 9, 1000000000, 785388356, 3.141553, 0.001249, 17.069071
4, 10, 10000000000, 7853958672, 3.141583, 0.000292, 170.514753
4, 7, 10000000, 7854548, 3.141819, 0.007211, 0.170879
4, 8, 100000000, 78540452, 3.141618, 0.000809, 1.705258
4, 9, 1000000000, 785382720, 3.141531, 0.001966, 17.020625
4, 10, 10000000000, 7853974292, 3.141590, 0.000093, 170.509932
